id    角色名         别名(称号)     全拼(名+称号)                            首字母
1101  贝蕾妮卡         确定的明天        beileinikaquedingdemingtian              blnkqddmt
1102  芙罗拉          反逆花序         fuluolafannihuaxu                        fllfnhx
1103  幻景           无名歌者         huanjingwuminggezhe                      hjwmgz
1201  主角-暗         -            zhujuean                                 zja
1501  莉兹贝尔         坚忍 · 暴怒      lizibeierjianrenbaonu                    lzbejrbn
1502  妮弗尔夫人        雾海引渡人        nifuerfurenwuhaiyinduren                 nfefrwhydr
1503  刻舟           仗剑游          kezhouzhangjianyou                       kzzjy
1504  苏乙           试新羽          suyishixinyu                             sysxy
1601  主角-光         -            zhujueguang                              zjg
      ^ 注意: 上游别名 "{nickname}" 是占位符,已忽略
1801  菲娜           夜莺千夜谭        feinayeyingqianyetan                     fnyyqyt
2101  丽蓓卡          纯爱蜇刺         libeikachunaizheci                       lbkcazc
2102  伊薇           乐园茕兔         yiweileyuanqiongtu                       ywlyqt
2201  主角-水         -            zhujueshui                               zjs
2301  塔比瑟          流动恶作剧        tabiseliudongezuoju                      tbsldezj
2401  扶疏           杏林疏影         fushuxinglinshuying                      fsxlsy
3101  琳恩           封锁的躁动        linenfengsuodezaodong                    lefsdzd
3102  希尔妲          幽雅随行         xierdayouyasuixing                       xedyysx
3103  耶尔与奥利弗       惊喜×惊吓        yeeryuaolifujingxijingxia                yeyalfjxjx
3104  法露茜          焚心作刃         faluxifenxinzuoren                       flxfxzr
3201  海尔法          炼火囚笼         haierfalianhuoqiulong                    heflhql
3202  卡米拉          赤影佳酿         kamilachiyingjianiang                    kmlcyjn
3301  玛尔洁          城市漫游者        maerjiechengshimanyouzhe                 mejcsmyz
4101  黎瑟           到灯塔去         lisedaodengtaqu                          lsddtq
4102  止流           利涉春江         zhiliulishechunjiang                     zllscj
4103  SP黎瑟         -            splise                                   ls
4201  煜明           无罪囚徒         yumingwuzuiqiutu                         ymwzqt
4202  兰迪           散漫愚者         landisanmanyuzhe                         ldsmyz
4301  西比尔          寒鸦           xibierhanya                              xbehy
5101  松露与榛子        忙忙粮秣官        songluyuzhenzimangmangliangmoguan        slyzzmmlmg
5102  奥特赛德         异乡人          aotesaideyixiangren                      atsdyxr
5301  赛琪           茧的白昼梦        saiqijiandebaizhoumeng                   sqjdbzm
5401  达芙涅          雨中人          dafunieyuzhongren                        dfnyzr
5402  莉莉蔻          -            lilikou                                  llk
